recipient_id,recipient,france,germany,japan,uk,us,dac,eu,multilateral,non_dac,un,wb,recipient_pop,code,sdg_index,total_pop,china,totaloda,suits_suits_germany_index
354,Jamaica,60.399765,2.960094,39.290604,91.884995,303.535,579.2109,210.61731,436.498,3.727999,42.390076,0.0,2823271.0,JAM,68.96667,6.370478e+09,121.36312,1140.7999,0.00053649343
358,Mexico,1957.0614,2170.1611,162.79219,215.44022,1993.234,6759.6914,484.9002,833.74786,43.25849,96.423,0.0,125762982.0,MEX,69.04444,6.370478e+09,43.922577,7680.62,0.024249807
257,Mauritius,813.174,21.287617,282.97778,10.125438,2.918999,1150.6246,208.07349,304.23135,87.0261,34.26141,0.0,1286270.0,MUS,69.17778,6.370478e+09,138.26501,1680.1471,0.00025164726
549,Jordan,1471.514,3574.0415,1342.1616,1155.692,10343.333,20278.678,2922.3206,5592.308,3825.0596,1986.428,205.25798,10671891.0,JOR,69.58889,6.370478e+09,73.30844,29769.354,0.002137227
55,Türkiye,2375.2651,4228.133,1185.7917,776.21844,696.91974,11667.557,19931.684,20506.256,468.0974,115.21548,0.0,85357672.0,TUR,69.611115,6.370478e+09,0.17285071,32642.082,0.017951185
136,Morocco,4825.149,4420.5674,870.45197,68.889404,912.4462,11936.8125,5533.821,7687.7227,2821.248,110.41901,0.0,36210898.0,MAR,69.76667,6.370478e+09,88.39403,22534.178,0.008018293
437,Colombia,2581.191,3470.1816,201.4321,516.2174,4780.9253,14176.994,767.8376,1454.8888,85.31461,214.39316,0.0,49907985.0,COL,69.977776,6.370478e+09,79.988304,15797.186,0.011557973
440,Ecuador,1047.6859,363.79794,304.75946,8.426034,439.71384,2838.8474,884.7865,1283.054,5.962759,139.08612,0.0,17340021.0,ECU,69.977776,6.370478e+09,6563.5435,10691.407,0.004101237
617,Uzbekistan,806.68555,246.38164,1989.0586,30.64005,241.85544,3815.1147,285.09662,6070.0596,507.53757,188.64156,3401.903,32964701.0,UZB,70.522224,6.370478e+09,764.0122,11156.724,0.007822643
457,Suriname,62.111908,0.75448,8.43493,0.302871,1.011382,142.55911,51.822777,174.17206,3.724703,12.741603,0.0,605768.0,SUR,70.655556,6.370478e+09,398.0882,718.54407,0.00014394357
130,Algeria,1214.0614,159.40077,9.726562,64.677895,47.673065,1712.7853,512.6602,646.8334,66.62054,102.31834,0.0,43294546.0,DZA,70.96667,6.370478e+09,123.673225,2549.9124,0.010296641
454,Peru,495.2398,1915.7698,246.04778,65.49344,1449.8304,5338.246,403.78625,732.67377,18.731878,86.58027,0.0,32449303.0,PER,71.0,6.370478e+09,136.6465,6226.2983,0.007803981
613,Kazakhstan,40.585888,169.96613,16.257137,33.908077,196.42113,583.352,57.395264,288.95932,325.59033,54.791092,0.0,19209555.0,KAZ,71.244446,6.370478e+09,1928.0955,3125.997,0.004671403
832,Fiji,6.530565,18.88776,273.43903,16.88514,30.63177,1295.4174,152.3698,740.11316,7.348773,129.0292,285.4415,914899.0,FJI,71.344444,6.370478e+09,139.1639,2182.0432,0.00022270858
340,Dominican Republic,1285.2561,50.71726,243.43301,6.908025,636.0598,2519.629,328.1883,985.0721,4.2933297,55.832893,0.0,10894043.0,DOM,71.54445,6.370478e+09,55.045452,3564.0398,0.0026528495
769,Viet Nam,1516.2745,1961.4957,6813.3745,122.50283,1363.1351,14738.792,582.76166,11039.842,254.09624,332.97534,6665.344,97173776.0,VNM,71.63333,6.370478e+09,78.516464,26111.246,0.023914734
65,Montenegro,13.076129,213.87674,4.950861,17.911999,32.759525,355.55005,1203.9053,1383.6257,63.39827,40.13028,0.0,611667.0,MNE,71.86667,6.370478e+09,15.897341,1818.4714,0.00015224493
139,Tunisia,1769.2646,2794.2195,853.0797,128.90364,738.05396,7321.4624,4540.3525,5702.9307,1178.972,74.38379,0.0,11875081.0,TUN,72.04444,6.370478e+09,254.65326,14458.019,0.0030016876
336,Costa Rica,368.53677,140.09778,252.92389,9.315549,209.50636,1076.69,122.0076,806.4728,21.80928,53.35614,0.0,4999553.0,CRI,72.111115,6.370478e+09,214.96222,2119.9343,0.001282622
611,Azerbaijan,354.1943,279.5842,219.65369,23.927832,142.01637,1241.1421,247.36266,528.5477,277.45276,57.81451,112.699234,10110475.0,AZE,72.3,6.370478e+09,41.46087,2088.6035,0.002599275
612,Georgia,877.25977,1261.8428,88.376884,40.34935,908.45886,3763.8132,2682.7747,3475.1802,55.597034,72.26316,97.15662,3796722.0,GEO,72.53333,6.370478e+09,72.9929,7367.5835,0.0009836189
64,Bosnia and Herzegovina,31.873232,545.2017,119.873314,53.407745,501.50217,2139.1487,2361.9875,3308.8896,475.1991,94.852,208.86487,3345533.0,BIH,72.666664,6.370478e+09,20.713934,5943.951,0.0009417044
66,North Macedonia,16.227913,234.74887,12.846136,37.12295,226.43976,921.34534,1707.1649,2039.4897,108.4131,56.785843,0.0,1897641.0,MKD,72.755554,6.370478e+09,13.959667,3083.2078,0.00053605443
431,Brazil,1784.4574,2561.9026,998.7814,435.1278,365.29495,7100.799,1654.3778,2170.8765,37.35476,116.40233,0.0,207455459.0,BRA,72.86667,6.370478e+09,1.4542999,9310.484,0.05934946
610,Armenia,461.6988,762.82367,40.359196,27.734951,342.67776,1831.6312,964.5288,1990.953,179.89946,80.29482,87.618546,2903972.0,ARM,73.13333,6.370478e+09,72.56141,4075.0452,0.000843199
655,Maldives,7.3591022,3.4815,131.86838,9.422651,19.978235,200.3942,39.31173,837.367,467.5109,50.610546,159.47899,487731.0,MDV,73.18889,6.370478e+09,402.1316,1907.4037,0.00014209875
85,Ukraine,785.22003,5168.449,1871.9357,1052.4546,23265.465,43987.12,37394.58,38299.355,295.43066,199.81766,0.0,44957458.0,UKR,73.54444,6.370478e+09,236.56158,82818.47,0.013397364
764,Thailand,150.21057,221.67926,2336.522,100.9079,582.04596,3611.8667,118.82841,513.0958,32.483364,136.75224,0.0,71522271.0,THA,73.64445,6.370478e+09,5997.8105,10155.257,0.021809718
71,Albania,224.5964,935.1499,65.12535,24.135693,182.37283,2122.7605,1527.8245,1689.331,474.73843,52.36333,14.094647,2885010.0,ALB,73.71111,6.370478e+09,11.264564,4298.0947,0.0008840376
614,Kyrgyzstan,8.430098,344.2807,200.89334,45.00742,510.4822,1502.9552,459.70447,3101.178,1452.9037,184.37292,675.0175,6494035.0,KGZ,73.91111,6.370478e+09,491.82153,6548.8584,0.0020006213
425,Argentina,151.20247,225.16989,72.17614,31.201221,40.0081,809.47284,349.99365,1152.1346,198.32056,76.04642,0.0,44973465.0,ARG,74.18889,6.370478e+09,77.31833,2237.2463,0.013887953
63,Serbia,379.07394,1457.8373,239.38301,36.670345,274.55798,3315.033,5118.602,5290.877,2555.2466,77.83245,0.0,6966153.0,SRB,77.62222,6.370478e+09,269.33887,11430.495,0.0021662554
338,Cuba,447.63293,25.11825,137.10855,29.089014,96.299286,3957.9695,166.20459,421.25604,2603.4663,63.993343,0.0,11202846.0,CUB,78.28889,6.370478e+09,3764.5293,10747.221,0.0035051096
93,Moldova,165.81465,225.40463,205.10529,31.06334,616.0034,2057.78,2005.8384,2989.0198,562.2218,105.1127,503.1203,3112562.0,MDA,78.37778,6.370478e+09,25.053633,5634.075,0.0009748515
86,Belarus,16.292301,178.426,2.321546,15.681211,135.33798,922.66003,511.7641,680.3851,57.74694,36.6324,0.0,9435419.0,BLR,79.111115,6.370478e+09,1165.5842,2826.3762,0.0029600665
730,China,1147.9788,7805.484,180.08145,601.9029,285.0277,10635.72,1405.5099,2300.6006,681.53973,219.68617,0.0,1423520357.0,CHN,72.54444,6.370478e+09,,13617.86,0.38539946
